Key,en,es,ar,fr
Can't Request Money To Your Own,Can't Request Money To Your Own,No puedo solicitar dinero al suyo,لا يمكنك طلب المال لك,Impossible de demander de l'argent à la vôtre
Your wallet isn't available with currency,Your wallet isn't available with currency,Su billetera no está disponible con moneda,محفظتك غير متوفرة بالعملة,Votre portefeuille n'est pas disponible avec la devise
Receiver doesn't exists or Receiver is temporary banned,Receiver doesn't exists or Receiver is temporary banned,El receptor no existe o el receptor está prohibido temporalmente,لا يوجد جهاز الاستقبال أو أن المتلقي محظور مؤقت,Le récepteur n'existe pas ou le récepteur est interdit temporaire
Your Wallet Balance Is Insufficient,Request Money to ,Solicitar dinero a,اطلب المال ل,Demander de l'argent à
Request Money to ,,#VALUE!,#VALUE!,#VALUE!
Request Money Send To,Request Money Send To,Solicitar dinero envío a,طلب المال إرسال إلى,Demander de l'argent envoyé à
Request Money from,Request Money from,Solicitar dinero de,طلب المال من,Demander de l'argent à
Request Money Logs,Request Money Logs,Solicitar registros de dinero,طلب سجلات المال,Demander des journaux d'argent
Sender wallet isn't available with currency,Sender wallet isn't available with currency,La billetera del remitente no está disponible con moneda,محفظة المرسل غير متوفرة بالعملة,Le portefeuille de l'expéditeur n'est pas disponible avec la devise
Receiver wallet isn't available with currency,Receiver wallet isn't available with currency,La billetera del receptor no está disponible con moneda,محفظة المتلقي غير متوفرة بالعملة,Le portefeuille du récepteur n'est pas disponible avec la devise
Request approved Successfully!,Request approved Successfully!,¡Solicite aprobado con éxito!,طلب الموافقة بنجاح!,Demandez avec succès approuvé!
Money Request Rejected Successfully!,Money Request Rejected Successfully!,Solicitud de dinero rechazada con éxito!,طلب المال رفض بنجاح!,Demande d'argent rejetée avec succès!
Request Money Information,Request Money Information,Solicitar información sobre dinero,طلب معلومات المال,Demander des informations d'argent
Invalid User,Invalid User,Usuario invalido,مستخدم غير صالح,Utilisateur invalide
Valid User For Request Money.,Valid User For Request Money.,Usuario válido para el dinero de la solicitud.,مستخدم صالح لطلب المال.,Utilisateur valide pour la demande d'argent.
Request Money Transactions,Request Money Transactions,Solicitar transacciones de dinero,طلب معاملات المال,Demander des transactions en argent
Invalid Transaction Id,Invalid Transaction Id,ID de transacción no válida,معرف المعاملة غير صالح,ID de transaction non valide
Security Setting Updated Successfully!,Security Setting Updated Successfully!,Configuración de seguridad actualizada con éxito!,تم تحديث إعداد الأمان بنجاح!,Paramètres de sécurité mis à jour avec succès!
Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications,Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications,Google Authenticator es un autenticador basado en productos de Google que ejecuta administraciones de confirmación de dos ventas para verificar a los clientes de cualquier aplicación de programación,Google Authenticator هو مصادقة قائمة على المنتج من قبل Google والتي تنفذ إدارات تأكيد ثنائية المشاريع للتحقق من العملاء من أي تطبيقات برمجة,Google Authenticator est un authentificateur basé sur les produits de Google qui exécute des administrations de confirmation à deux ventes pour vérifier les clients de toute application de programmation
Don't forget to add this application in your google authentication app. Otherwise you can't login in your account.,Don't forget to add this application in your google authentication app. Otherwise you can't login in your account.,"No olvide agregar esta aplicación en su aplicación de autenticación de Google. De lo contrario, no puede iniciar sesión en su cuenta.",لا تنس إضافة هذا التطبيق في تطبيق مصادقة Google الخاص بك. وإلا لا يمكنك تسجيل الدخول في حسابك.,"N'oubliez pas d'ajouter cette application dans votre application Google Authentication. Sinon, vous ne pouvez pas vous connecter dans votre compte."
Your account secure with google 2FA,Your account secure with google 2FA,Su cuenta segura con Google 2FA,حسابك آمن مع Google 2FA,Votre compte sécurisé avec Google 2FA
To enable two factor authentication (powered by google) please visit your web dashboard. Click here:,To enable two factor authentication (powered by google) please visit your web dashboard. Click here:,"Para habilitar la autenticación de dos factores (alimentado por Google), visite su tablero web. Haga clic aquí:",لتمكين مصادقة عاملين (مدعوم من Google) ، يرجى زيارة لوحة معلومات الويب الخاصة بك. انقر هنا:,"Pour activer l'authentification à deux facteurs (alimentée par Google), veuillez visiter votre tableau de bord Web. Cliquez ici:"
Request response fetch successfully!,Request response fetch successfully!,¡Solicite la respuesta de respuesta con éxito!,طلب استجابة جلب بنجاح!,Demandez la réponse récupérer avec succès!
Google 2FA successfully verified!,Google 2FA successfully verified!,Google 2FA Verificado con éxito!,تم التحقق من Google 2FA بنجاح!,Google 2FA a vérifié avec succès!
Invalid authentication code,Invalid authentication code,Código de autenticación no válido,رمز المصادقة غير صالح,Code d'authentification non valide
Can't send money to your own,Can't send money to your own,No puedo enviar dinero a la tuya,لا يمكنك إرسال أموال إلى بنفسك,Impossible d'envoyer de l'argent à la vôtre
Send Money successful to,Send Money successful to,Enviar dinero exitoso a,إرسال أموال ناجحة إلى,Envoyer de l'argent réussi à
Transfer Money to,Transfer Money to,Transferir dinero a,تحويل الأموال إلى,Transférer de l'argent à
Transfer Money Send To,Transfer Money Send To,Transferir dinero envío a,تحويل الأموال إرسال إلى,Transférer de l'argent envoyé à
Transfer Money from,Transfer Money from,Transferir dinero de,تحويل الأموال من,Transférer de l'argent à partir de
Transfer Money Received From,Transfer Money Received From,Transferir dinero recibido de,تحويل الأموال المستلمة من,Transférer de l'argent reçu de
Send Money Information,Send Money Information,Enviar información sobre dinero,إرسال معلومات المال,Envoyer des informations d'argent
Valid user for transaction.,Valid user for transaction.,Usuario válido para la transacción.,مستخدم صالح للمعاملة.,Utilisateur valide pour la transaction.
Virtual Card Transaction,Virtual Card Transaction,Transacción de tarjeta virtual,معاملة البطاقة الافتراضية,Transaction de carte virtuelle
Something is wrong in your card,Something is wrong in your card,Algo anda mal en tu tarjeta,هناك خطأ ما في بطاقتك,Quelque chose ne va pas dans votre carte
Card Inactive Successfully,Card Inactive Successfully,Tarjeta inactiva con éxito,بطاقة غير نشطة بنجاح,Carte inactive avec succès
Card Active Successfully,Card Active Successfully,Tarjeta activa con éxito,بطاقة نشطة بنجاح,Carte active avec succès
Status Updated Successfully!,Status Updated Successfully!,Estado actualizado con éxito!,تم تحديث الحالة بنجاح!,Statut mis à jour avec succès!
Virtual Card Buy Successfully,Virtual Card Buy Successfully,Tarjeta virtual Comprar con éxito,بطاقة الافتراضية شراء بنجاح,Carte virtuelle Acheter avec succès
Buy card successful,Buy card successful,Comprar tarjeta exitosa,شراء بطاقة ناجحة,Acheter la carte réussie
Virtual Card Stripe,Virtual Card Stripe,Franja de tarjeta virtual,شريط البطاقة الافتراضية,Stripe de carte virtuelle
Virtual Card Sensitive Data,Virtual Card Sensitive Data,Datos sensibles a la tarjeta virtual,بيانات حساسة البطاقة الافتراضية,Données sensibles à la carte virtuelle
"Sorry,This Card Is Already Inactive","Sorry,This Card Is Already Inactive","Lo siento, esta tarjeta ya está inactiva",آسف ، هذه البطاقة غير نشطة بالفعل,"Désolé, cette carte est déjà inactive"
"Sorry,This Card Is Already Active","Sorry,This Card Is Already Active","Lo siento, esta tarjeta ya está activa",آسف ، هذه البطاقة نشطة بالفعل,"Désolé, cette carte est déjà active"
Card block successfully,Card block successfully,Bloque de tarjetas con éxito,كتلة البطاقة بنجاح,Bloc de carte avec succès
Card unblock successfully,Card unblock successfully,Desbloqueo de la tarjeta con éxito,بطاقة إلغاء الحظر بنجاح,Carte débloquer avec succès
"Currency doesn't supported for creating virtual card, Please contact","Currency doesn't supported for creating virtual card, Please contact","La moneda no es compatible con la creación de una tarjeta virtual, comuníquese con",العملة لا تدعم لإنشاء بطاقة افتراضية ، يرجى الاتصال,"La devise n'est pas prise en charge pour créer une carte virtuelle, veuillez contacter"
"Customer doesn't created properly,Contact with owner","Customer doesn't created properly,Contact with owner","El cliente no creó correctamente, contacte con el propietario",لا يتم إنشاء العميل بشكل صحيح ، اتصل بالمالك,"Le client n'est pas créé correctement, contact avec le propriétaire"
Virtual Card Sudo,Virtual Card Sudo,Tarjeta virtual sudo,بطاقة افتراضية سودو,Carte virtuelle sudo
Fess & Charges,Fess & Charges,Fess y cargos,FESS & رسوم,Fesse et charges
"Sorry,This Card Is Already Blocked","Sorry,This Card Is Already Blocked","Lo siento, esta tarjeta ya está bloqueada",آسف ، هذه البطاقة محظورة بالفعل,"Désolé, cette carte est déjà bloquée"
"Sorry,This Card Is Already Unblocked","Sorry,This Card Is Already Unblocked","Lo siento, esta tarjeta ya está desbloqueada",آسف ، هذه البطاقة غير محظورة بالفعل,"Désolé, cette carte est déjà débloquée"
Sorry! You can not create more than,Sorry! You can not create more than,¡Lo siento! No puedes crear más de,آسف! لا يمكنك إنشاء أكثر من,Désolé! Vous ne pouvez pas créer plus que
card using the same email address.,card using the same email address.,Tarjeta que usa la misma dirección de correo electrónico.,بطاقة باستخدام نفس عنوان البريد الإلكتروني.,carte en utilisant la même adresse e-mail.
Card Freeze successfully,Card Freeze successfully,Congelamiento de tarjetas con éxito,تجميد البطاقة بنجاح,CONGÉRATION DES CARTES
Card UnFreeze successfully,Card UnFreeze successfully,Desengalencia de la tarjeta con éxito,بطاقة unfredeze بنجاح,Carte Dégelé avec succès
Card Funded Successfully,Card Funded Successfully,Tarjeta financiada con éxito,تم تمويل البطاقة بنجاح,Carte financée avec succès
Please Contact With Administration,Please Contact With Administration,Póngase en contacto con la administración,يرجى الاتصال مع الإدارة,Veuillez contacter avec l'administration
Card Fund,Card Fund,Fondo,صندوق البطاقات,Fonds de carte
Card fund successful card,Card fund successful card,Tarjeta exitosa del fondo de la tarjeta,بطاقة صندوق البطاقة الناجحة,Carte Fund Carte réussie
"Sorry,This Card Is Already Freeze","Sorry,This Card Is Already Freeze","Lo siento, esta tarjeta ya está congelada",آسف ، هذه البطاقة تجميد بالفعل,"Désolé, cette carte est déjà congente"
"Sorry,This Card Is Already Unfreeze","Sorry,This Card Is Already Unfreeze","Lo siento, esta tarjeta ya no tiene ningún tipo",عذرًا ، هذه البطاقة غير متجانسة بالفعل,"Désolé, cette carte est déjà débordée"
Card has been blocked previously,Card has been blocked previously,La tarjeta ha sido bloqueada anteriormente,تم حظر البطاقة من قبل,La carte a été bloquée précédemment
This Card has been terminated previously,This Card has been terminated previously,Esta tarjeta ha sido terminado anteriormente,تم إنهاء هذه البطاقة من قبل,Cette carte a été résiliée précédemment
Card has been unblocked previously,Card has been unblocked previously,La tarjeta ha sido desbloqueada anteriormente,لقد تم إلغاء حظر البطاقة من قبل,La carte a été débloquée auparavant
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني,Billets de support
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de apoyo creado con éxito!,تذكرة دعم تم إنشاؤها بنجاح!,Ticket de support créé avec succès!
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡SMS enviando fallado! Inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.,SMS Envoi a échoué! Veuillez réessayer.
User doesn't exists.,User doesn't exists.,El usuario no existe.,المستخدم لا يوجد.,L'utilisateur n'existe pas.
Time expired. Please try again,Time expired. Please try again,Tiempo expirado. Inténtalo de nuevo,انتهى الوقت. حاول مرة اخرى,Le temps est écoulé. Veuillez réessayer
"Your Verification is successful, Now you can recover your password","Your Verification is successful, Now you can recover your password","Su verificación es exitosa, ahora puede recuperar su contraseña",إن التحقق الخاص بك ناجح ، والآن يمكنك استعادة كلمة المرور الخاصة بك,"Votre vérification est réussie, vous pouvez maintenant récupérer votre mot de passe"
Account Has been Suspended,Account Has been Suspended,Cuenta ha sido suspendida,تم تعليق حسابك,Le compte a été suspendu
Login Successful,Login Successful,Inicio de sesión correcto,تسجيل الدخول ناجح,Connexion réussie
Incorrect Password,Incorrect Password,Contraseña incorrecta,كلمة سر خاطئة,Mot de passe incorrect
Email address already exist,Email address already exist,La dirección de correo electrónico ya existe,عنوان البريد الإلكتروني موجود بالفعل,L'adresse e-mail existe déjà
Mobile number already exist,Mobile number already exist,El número de móvil ya existe,رقم الهاتف المحمول موجود بالفعل,Le numéro de mobile existe déjà
Registration Successful,Registration Successful,Registro exitoso,التسجيل ناجح,Inscription réussi
Mail Authorization,Mail Authorization,Autorización de correo,ترخيص البريد,Autorisation de courrier
Merchant doesn't exists.,Merchant doesn't exists.,El comerciante no existe.,التاجر لا يوجد.,Le marchand n'existe pas.
Verify Merchant,Verify Merchant,Verificar comerciante,تحقق من التاجر,Vérifiez le marchand
Merchant Registration,Merchant Registration,Registro comercial,تسجيل التاجر,Enregistrement des marchands
"Merchant already  exists, please try with another email","Merchant already  exists, please try with another email","El comerciante ya existe, intente con otro correo electrónico",التاجر موجود بالفعل ، يرجى المحاولة عبر بريد إلكتروني آخر,"Le commerçant existe déjà, veuillez essayer avec un autre e-mail"
Merchant Registration KYC,Merchant Registration KYC,Registro de comerciante KYC,تسجيل التاجر KYC,Enregistrement des marchands KYC
Merchant Dashboard,Merchant Dashboard,Tablero de mercancías,لوحة القيادة التجارية,Tableau de bord marchand
API Credentials,API Credentials,Credenciales de API,بيانات اعتماد API,Contaliens API
Developer API not found!,Developer API not found!,¡API de desarrollador no se encuentra!,لم يتم العثور على API مطور!,API du développeur n'est pas trouvé!
Developer API mode updated successfully!,Developer API mode updated successfully!,¡Modo API de desarrollador actualizado con éxito!,تم تحديث وضع API المطور بنجاح!,Le mode API du développeur a mis à jour avec succès!
Master/Visa card credentials updated successfully!,Master/Visa card credentials updated successfully!,¡Credenciales de tarjeta maestra/visa actualizadas con éxito!,تم تحديث بيانات اعتماد بطاقة Visa/Visa بنجاح!,Les informations d'identification de la carte Master / Visa ont été mises à jour avec succès!
Your Withdraw Request Send To Admin,Your Withdraw Request Send To Admin,Su solicitud de retiro Enviar al administrador,طلب الانسحاب الخاص بك إرسال إلى المسؤول,Votre demande de retrait envoie à l'administrateur
Merchant Profile,Merchant Profile,Perfil de comerciante,ملف تعريف التاجر,Profil marchand
Requested credentials is invalid,Requested credentials is invalid,Las credenciales solicitadas no son válidas,بيانات الاعتماد المطلوبة غير صالحة,Les informations d'identification demandées sont invalides
Merchant doesn't exists or credentials is invalid,Merchant doesn\'t exists or credentials is invalid,El comerciante no existe o las credenciales no son válidas,التاجر لا يوجد أو بيانات اعتماد غير صالحة,Le marchand n'existe pas ou les informations d'identification sont invalides
Failed to create access token. Please try again,Failed to create access token. Please try again,No se pudo crear el token de acceso. Inténtalo de nuevo,فشل في إنشاء رمز الوصول. حاول مرة اخرى,Échec de la création de jeton d'accès. Veuillez réessayer
Access denied! Token not found,Access denied! Token not found,¡Acceso denegado! Token no encontrado,تم الرفض! رمز لم يتم العثور عليه,Accès refusé! Jeton introuvable
Requested with invalid token!,Requested with invalid token!,¡Solicitado con token inválido!,طلب مع رمز غير صالح!,Demandé avec un jeton non valide!
Failed to create payment! Please try again,Failed to create payment! Please try again,¡No se pudo crear el pago! Inténtalo de nuevo,فشل في إنشاء الدفع! حاول مرة اخرى,Échec de la création de paiement! Veuillez réessayer
Merchant does't exists,Merchant does't exists,El comerciante no existe,التاجر لا يوجد,Le commerçant n'existe pas
Requested with invalid credentials!,Requested with invalid credentials!,¡Solicitado con credenciales no válidas!,طلب مع بيانات اعتماد غير صالحة!,Demandé avec des informations d'identification non valides!
File Deleted Successfully!,File Deleted Successfully!,Archivo eliminado con éxito!,تم حذف الملف بنجاح!,Fichier supprimé avec succès!
Your Message Submitted,Your Message Submitted,Su mensaje enviado,أرسلت رسالتك,Votre message soumis
Your newsletter information submission successfully,Your newsletter information submission successfully,El envío de información de su boletín con éxito,تقديم معلومات الإخبارية الخاصة بك بنجاح,Votre information de newsletter soumet avec succès
"Payment Successful, Please Go Back Your App","Payment Successful, Please Go Back Your App","Pago exitoso, por favor regrese su aplicación",الدفع ناجحًا ، يرجى العودة إلى تطبيقك,"Paiement réussi, veuillez revenir en arrière votre application"
Merchant does not exist,Merchant does not exist,El comerciante no existe,التاجر غير موجود,Le marchand n'existe pas
Merchant already exist,Merchant already exist,El comerciante ya existe,التاجر موجود بالفعل,Le commerçant existe déjà
"User already exist, please select another email address","User already exist, please select another email address","El usuario ya existe, seleccione otra dirección de correo electrónico",المستخدم موجود بالفعل ، يرجى تحديد عنوان بريد إلكتروني آخر,"L'utilisateur existe déjà, veuillez sélectionner une autre adresse e-mail"
"Now,You can register","Now,You can register",Ahora puedes registrarte,الآن ، يمكنك التسجيل,"Maintenant, vous pouvez vous inscrire"
Terms Of Use & Privacy Policy Field Is Required!,Terms Of Use & Privacy Policy Field Is Required!,¡Se requieren Términos de uso y campo de política de privacidad!,شروط الاستخدام والخصوصية حقل حقل!,Les conditions d'utilisation et le champ de politique de confidentialité sont requis!
Verification code is expired,Verification code is expired,El código de verificación ha caducado,رمز التحقق منتهي صلاحية,Le code de vérification est expiré
Verification is invalid,Verification is invalid,La verificación no es válida,التحقق غير صالح,La vérification n'est pas valide
"Merchant already exist, please select another email address","Merchant already exist, please select another email address","El comerciante ya existe, seleccione otra dirección de correo electrónico",تاجر موجود بالفعل ، يرجى تحديد عنوان بريد إلكتروني آخر,"Le commerçant existe déjà, veuillez sélectionner une autre adresse e-mail"
Merchant Notifications,Merchant Notifications,Notificaciones comerciales,الإخطارات التجارية,Notifications marchands
All Transactions,All Transactions,Todas las transacciones,كل الحركات المالية,toutes transactions
Status Change Successful,Status Change Successful,Cambio de estado exitoso,تغيير الحالة ناجح,Changement de statut réussi
Merchant Developer Api Key,Merchant Developer Api Key,Clave de API de desarrollador comercial,مفتاح مطور التاجر API,Clé API développeur marchand
Your Wallet Balance System Already Enabled,Your Wallet Balance System Already Enabled,Su sistema de balance de billetera ya habilitado,تم تمكين نظام توازن المحفظة الخاص بك بالفعل,Votre système d'équilibre de portefeuille est déjà activé
DYour Wallet Balance System Already Disabled,Your Wallet Balance System Already Disabled,Su sistema de balance de billetera ya está deshabilitado,نظام توازن المحفظة الخاص بك معطل بالفعل,Votre système d'équilibre de portefeuille déjà désactivé
EWallet Balance System Enabled Successfully,Wallet Balance System Enabled Successfully,Sistema de balance de billetera habilitado con éxito,تم تمكين نظام توازن المحفظة بنجاح,Système d'équilibre du portefeuille activé avec succès
Wallet Balance System Disabled Successfully,Wallet Balance System Disabled Successfully,Sistema de balance de billetera Desactivado con éxito,نظام توازن المحفظة المعاق بنجاح,Système d'équilibre du portefeuille désactivé avec succès
EYour Virtual Card System Already Enabled,Your Virtual Card System Already Enabled,Su sistema de tarjeta virtual ya habilitado,تم تمكين نظام البطاقات الافتراضية بالفعل,Votre système de cartes virtuels a déjà activé
Your Virtual Card System Already Disabled,Your Virtual Card System Already Disabled,Su sistema de tarjeta virtual ya está deshabilitado,نظام البطاقات الافتراضي الخاص بك معطل بالفعل,Votre système de cartes virtuels déjà désactivé
EVirtual Card System Enabled Successfully,Virtual Card System Enabled Successfully,Sistema de tarjeta virtual habilitado con éxito,تم تمكين نظام البطاقات الافتراضية بنجاح,Système de cartes virtuelles activées avec succès
Virtual Card System Disabled Successfully,Virtual Card System Disabled Successfully,Sistema de tarjetas virtuales deshabilitado correctamente,تعطيل نظام البطاقة الافتراضي بنجاح,Système de cartes virtuelles désactivé avec succès
EYour Master/Visa System Already Enabled,Your Master/Visa System Already Enabled,Su sistema de maestría/visa ya habilitado,تم تمكين نظامك الرئيسي/التأشيرة بالفعل,Votre système de maître / visa est déjà activé
Your Master/Visa System Already Disabled,Your Master/Visa System Already Disabled,Su sistema de maestría/visa ya está deshabilitado,Master/Visa System الخاص بك معطل بالفعل,Votre système maître / visa est déjà désactivé
EMaster/Visa System Enabled Successfully,Master/Visa System Enabled Successfully,Sistema maestro/visa habilitado con éxito,تم تمكين نظام Master/Visa بنجاح,Le système maître / visa a permis avec succès
Master/Visa System Disabled Successfully,Master/Visa System Disabled Successfully,Sistema maestro/visa deshabilitado con éxito,تعطيل نظام Master/Visa بنجاح,Système maître / visa désactivé avec succès
Withdraw Money Information!,Withdraw Money Information!,¡Retire la información del dinero!,سحب معلومات المال!,Retirer des informations d'argent!
Add Money Information!,Add Money Information!,¡Agrega información de dinero!,أضف معلومات المال!,Ajouter des informations d'argent!
Language Data Fetch Successfully!,Language Data Fetch Successfully!,¡Los datos del idioma obtienen con éxito!,جلب بيانات اللغة بنجاح!,Les données linguistiques s'approchent avec succès!
Basic information fetch successfully,Basic information fetch successfully,Información básica para obtener con éxito,المعلومات الأساسية جلبت بنجاح,Informations de base Récupérez avec succès
Clear cache successfully,Clear cache successfully,Borrar el caché correctamente,مسح ذاكرة التخزين المؤقت بنجاح,Effacer le cache avec succès
Add Money Inserted Successfully,Add Money Inserted Successfully,Agregar dinero insertado con éxito,أضف أموالًا تم إدخالها بنجاح,Ajouter de l'argent inséré avec succès
crypto Payment Address,Crypto Payment,Pago criptográfico,دفع التشفير,Paiement de cryptographie
pay With This Address,Pay WithThis Address,Pagar con esta dirección,دفع هذا العنوان,Payer cette adresse
proceed,Proceed,Proceder,يتابع,Procéder
enter House Number,Enter House Number,Ingrese el número de la casa,أدخل رقم المنزل,Entrez le numéro de maison
id Number,Id Number,Número de identificación,رقم الهوية,Numéro d'identification
enter Id Number,Enter Id Number,Ingrese el número de identificación,أدخل رقم المعرف,Entrez le numéro d'identification
customer Email,Customer Email,Correo electrónico del cliente,البريد الإلكتروني العميل,Email client
enter Customer Email,Enter Customer Email,Ingrese el correo electrónico del cliente,أدخل البريد الإلكتروني للعميل,Entrez le courrier électronique du client
enter Date Of Birth,mm/day/year,mm/día/año,مم/يوم/سنة,mm / jour / an
date Of Birth,Date Of Birth,Fecha de nacimiento,تاريخ الميلاد,Date de naissance
enter Phone Number,Enter Phone Number ,Ingresa número telefónico,أدخل رقم الهاتف,Entrez le numéro de téléphone
cardI d,Card Id ,Tarjeta de identificacion,بطاقة الهوية,Identifiant de carte
customer Id,Customer Id,Identificación del cliente,هوية الزبون,N ° de client
house Number,House Number,Número de casa,رقم الدار,Numéro de maison
line1,Line 1,Línea 1,خط 1,Ligne 1
enterLine1,Enter Line 1,Ingrese la línea 1,إدخال السطر 1,Entrez la ligne 1
enter Select City,Enter Select City ,Ingrese Seleccionar Ciudad,أدخل مدينة تحديد,Entrez la ville sélectionnée
please Follow The Limit,Please follow the limit ,Siga el límite,يرجى اتباع الحد الأقصى,Veuillez suivre la limite
you Don Not Buy Card,You do not buy card,No compras tarjeta,أنت لا تشتري بطاقة,Vous n'achetez pas de carte
address Copy To,Address copy to clipboard,Dirección de copia al portapapeles,عنوان نسخة إلى الحافظة,Adressez la copie dans le presse-papiers
Agent doesn't exists.,Agent doesn't exists.,El agente no existe.,الوكيل لا يوجد.,L'agent n'existe pas.
Agent already exist,Agent already exist,Agente ya existe,وكيل موجود بالفعل,L'agent existe déjà
"Agent already exist, please select another email address","Agent already exist, please select another email address","El agente ya existe, seleccione otra dirección de correo electrónico",الوكيل موجود بالفعل ، يرجى تحديد عنوان بريد إلكتروني آخر,"L'agent existe déjà, veuillez sélectionner une autre adresse e-mail"
Agent wallet not found!,Agent wallet not found!,¡La billetera del agente no se encuentra!,وكيل محفظة لم يتم العثور عليها!,Portefeuille d'agent introuvable!
Money In Information,Money In Information,Dinero en información,المال في المعلومات,Argent dans l'information
Can't Money-In to your own,Can't Money-In to your own,No puedo dinero para el tuyo,لا يمكنك المال لصالحك,Ne peut pas argent dans le vôtre
Invalid QR Code,Invalid QR Code,Código QR no válido,رمز QR غير صالح,Code QR non valide
Money In Request Successful,Money In Request Successful,Dinero en solicitud exitoso,المال في الطلب ناجح,L'argent dans la demande réussie
My Sender Recipients,My Sender Recipients,Los destinatarios de mi remitente,متلقي المرسل,Mes récipiendaires de l'expéditeur
Please select a valid cash pickup,Please select a valid cash pickup,Seleccione una recolección de efectivo válida,الرجاء تحديد عملية استلام نقدية صالحة,Veuillez sélectionner un ramassage en espèces valide
Sender recipient save successfully,Sender recipient save successfully,Guardar con éxito el destinatario del remitente correctamente,مستلم المرسل حفظ بنجاح,Le destinataire de l'expéditeur économise avec succès
Successfully get sender recipient,Successfully get sender recipient,Obtenga con éxito el destinatario del remitente,نجح في الحصول على مستلم المرسل,Obtenez avec succès le destinataire de l'expéditeur
"Invalid request, sender recipient not found!","Invalid request, sender recipient not found!","Solicitud no válida, destinatario del remitente no encontrado!",طلب غير صالح ، مستلم المرسل لم يتم العثور عليه!,"Demande non valide, destinataire de l'expéditeur introuvable!"
Sender recipient updated successfully,Sender recipient updated successfully,Destinador de remitente actualizado correctamente,تم تحديث مستلم المرسل بنجاح,Le destinataire de l'expéditeur a mis à jour avec succès
Recipient deleted successfully,Recipient deleted successfully,Destinatario eliminado con éxito,تم حذف المستلم بنجاح,Le destinataire a supprimé avec succès
My Receiver Recipients,My Receiver Recipients,Mis receptores de receptor,متلقي جهاز الاستقبال الخاص بي,Les destinataires de mon récepteur
Receiver recipient save successfully,Receiver recipient save successfully,Guardar con éxito el receptor del receptor correctamente,مستلم المتلقي حفظ بنجاح,Le destinataire du récepteur économise avec succès
Successfully get receiver recipient,Successfully get receiver recipient,Obtenga con éxito el receptor del receptor,نجح في الحصول على مستلم المتلقي,Obtenez avec succès le destinataire du récepteur
"Invalid request, receiver recipient not found!","Invalid request, receiver recipient not found!","Solicitud no válida, receptor no encontrado!",طلب غير صالح ، مستلم المتلقي لم يتم العثور عليه!,"Demande non valide, destinataire du récepteur introuvable!"
Receiver recipient updated successfully,Receiver recipient updated successfully,Receptor receptor actualizado correctamente,تم تحديث مستلم المتلقي بنجاح,Le destinataire du récepteur a mis à jour avec succès
Successfully got sender recipient,Successfully got sender recipient,Obtuve con éxito el destinatario del remitente,حصل بنجاح على مستلم المرسل,Obtenu avec succès le destinataire de l'expéditeur
Successfully got receiver recipient,Successfully got receiver recipient,Recibido receptor con éxito,حصل بنجاح على مستلم المتلقي,Obtenu avec succès récepteur
Receiver Recipient is invalid,Receiver Recipient is invalid,El receptor del receptor no es válido,مستلم المتلقي غير صالح,Le destinataire du récepteur n'est pas valide
"Sorry, Receiver wallet not found","Sorry, Receiver wallet not found","Lo siento, no se encuentra la billetera del receptor",آسف ، لم يتم العثور على محفظة المتلقي,"Désolé, le portefeuille récepteur n'est pas trouvé"
Google 2FA Updated Successfully,Google 2FA Updated Successfully,Google 2FA actualizado con éxito,تم تحديث Google 2FA بنجاح,Google 2FA a mis à jour avec succès
Can't transfer money to your own,Can't transfer money to your own,No se puede transferir dinero al tuyo,لا يمكنك تحويل الأموال الخاصة بك,Impossible de transférer de l'argent à la vôtre
Agent Dashboard,Agent Dashboard,Panel de control de agente,وكيل لوحة القيادة,Tableau de bord de l'agent
Agent Profile,Agent Profile,Perfil de agente,ملف تعريف الوكيل,Profil d'agent
Agent Notifications,Agent Notifications,Notificaciones del agente,إشعارات الوكيل,Notifications d'agent
Can't money out to your own,Can't money out to your own,No puedo hacer dinero para los tuyos,لا يمكنك المال لصالحك,Je ne peux pas faire de l'argent pour le vôtre
Money Out Successful,Money Out Successful,Dinero exitoso,المال الناجح,Money Out réussi
Valid agent for transaction,Valid agent for transaction,Agente válido para la transacción,وكيل صالح للمعاملة,Agent valide pour la transaction
Profitable Logs,Profitable Logs,Registros rentables,سجلات مربحة,Journaux rentables
PayLink Api,PayLink Api,API de PayLink,Paylink API,API PayLink
Remitance,Remitance,Remitencia,الاستمتاع,Remise
Receviver Countries,Receviver Countries,Países recibidos,البلدان,Pays de réception
Bank Deposits,Bank Deposits,Depósitos bancarios,الودائع المصرفية,Dépôts de banque
Cash Pickups,Cash Pickups,Recogidas en efectivo,التقاطات النقدية,Camionnettes en espèces
Bill Pay Logs,Bill Pay Logs,Registros de pago de facturas,سجلات دفع الفواتير,Billets de paiement
All Link,All Link,Todo el enlace,كل رابط,Tout lien
Active Link,Active Link,Enlace activo,رابط نشط,Lien actif
Closed Link,Closed Link,Enlace cerrado,رابط مغلق,Lien fermé
Profit Logs,Profit Logs,Registros de ganancias,سجلات الربح,Journaux de profit
